406.0	1889.4	1.000	0.001	0.131	0.727	0.001	0.130
404.8	1878.6	1.000	0.001	0.130	0.727	0.001	0.130
401.2	1846.7	1.000	0.001	0.130	0.727	0.001	0.130
395.0	1795.6	1.000	0.001	0.130	0.728	0.001	0.130
386.2	1727.8	1.000	0.001	0.130	0.728	0.001	0.130
374.7	1646.3	1.000	0.001	0.130	0.729	0.001	0.130
361.0	1553.9	1.000	0.001	0.131	0.730	0.001	0.130
345.2	1453.2	1.000	0.002	0.131	0.732	0.001	0.131
327.7	1346.7	1.000	0.002	0.132	0.734	0.002	0.132
308.9	1236.5	1.000	0.003	0.134	0.736	0.002	0.133
289.2	1124.5	1.000	0.003	0.136	0.739	0.003	0.135
268.7	1012.5	1.000	0.005	0.138	0.743	0.003	0.137
247.8	901.9	1.000	0.006	0.141	0.747	0.004	0.140
226.7	794.1	1.000	0.008	0.145	0.752	0.006	0.143
205.6	690.5	1.000	0.010	0.149	0.758	0.008	0.147
184.7	592.1	1.000	0.014	0.155	0.764	0.011	0.152
164.2	499.9	1.000	0.019	0.163	0.771	0.015	0.159
144.3	414.7	1.000	0.027	0.173	0.780	0.021	0.167
125.2	337.3	1.000	0.039	0.187	0.789	0.031	0.178
107.0	268.1	1.000	0.058	0.206	0.799	0.046	0.194
89.8	207.7	1.000	0.086	0.232	0.811	0.070	0.216
73.9	156.1	1.000	0.126	0.268	0.823	0.104	0.246
59.4	113.3	1.000	0.184	0.318	0.837	0.154	0.288
46.4	79.1	1.000	0.271	0.390	0.852	0.231	0.350
35.0	52.8	1.000	0.391	0.487	0.868	0.340	0.436
25.3	33.6	1.000	0.547	0.612	0.884	0.483	0.549
17.5	20.4	1.000	0.715	0.749	0.900	0.643	0.678
11.5	11.8	1.000	0.855	0.868	0.915	0.782	0.795
