PDG	Ctau	Acceptance	StatError
6001113	0.2	0.2241		0.0360
6001113	0.4	0.2224		0.0246
6001113	0.8	0.2323		0.0174
6001113	1.2	0.2397		0.0145
6001113	1.6	0.2444		0.0127
6001113	2	0.2474		0.0115
6001113	4	0.2522		0.0085
6001113	8	0.2520		0.0064
6001113	12	0.2515		0.0056
6001113	16	0.2512		0.0052
6001113	20	0.2513		0.0051
6001113	40	0.2539		0.0086
6001113	80	0.2559		0.0250
6001113	120	0.2545		0.0360
6001113	160	0.2530		0.0427
6001113	200	0.2517		0.0470
6001113	400	0.2483		0.0562
6001113	800	0.2461		0.0610
6001113	1200	0.2453		0.0626
6001113	1600	0.2449		0.0635
6001113	2000	0.2446		0.0639
6002113	2	0.2528		0.0327
6002113	4	0.2658		0.0254
6002113	8	0.2648		0.0192
6002113	12	0.2626		0.0159
6002113	16	0.2616		0.0138
6002113	20	0.2612		0.0124
6002113	40	0.2610		0.0088
6002113	80	0.2524		0.0066
6002113	120	0.2352		0.0057
6002113	160	0.2160		0.0052
6002113	200	0.1977		0.0048
6002113	400	0.1330		0.0042
6002113	800	0.0806		0.0058
6002113	1200	0.0621		0.0063
6002113	1600	0.0532		0.0064
6002113	2000	0.0482		0.0064
6002113	4000	0.0388		0.0062
6002113	8000	0.0345		0.0060
6002113	1.2e+04	0.0331		0.0059
6002113	1.6e+04	0.0325		0.0059
6002113	2e+04	0.0321		0.0059
6003113	20	0.2519		0.0365
6003113	40	0.2541		0.0259
6003113	80	0.2466		0.0185
6003113	120	0.2297		0.0152
6003113	160	0.2107		0.0131
6003113	200	0.1927		0.0117
6003113	400	0.1304		0.0078
6003113	800	0.0775		0.0048
6003113	1200	0.0551		0.0034
6003113	1600	0.0427		0.0027
6003113	2000	0.0349		0.0022
6003113	4000	0.0183		0.0012
6003113	8000	0.0104		0.0008
6003113	1.2e+04	0.0081		0.0007
6003113	1.6e+04	0.0070		0.0006
6003113	2e+04	0.0064		0.0006
6003113	4e+04	0.0053		0.0005
6003113	8e+04	0.0048		0.0005
6003113	1.2e+05	0.0047		0.0005
6003113	1.6e+05	0.0046		0.0005
6003113	2e+05	0.0045		0.0005
