PDG	Ctau	Acceptance	StatError
6001113	0.07	0.1649		0.1161
6001113	0.14	0.1904		0.1003
6001113	0.28	0.2128		0.0677
6001113	0.42	0.2244		0.0493
6001113	0.56	0.2297		0.0389
6001113	0.7	0.2326		0.0322
6001113	1.4	0.2401		0.0173
6001113	2.8	0.2495		0.0098
6001113	4.2	0.2550		0.0076
6001113	5.6	0.2584		0.0067
6001113	7	0.2612		0.0065
6001113	14	0.2888		0.0211
6001113	28	0.3568		0.0888
6001113	42	0.3870		0.1260
6001113	56	0.4015		0.1457
6001113	70	0.4098		0.1575
6001113	140	0.4249		0.1807
6001113	280	0.4317		0.1919
6001113	420	0.4338		0.1955
6001113	560	0.4349		0.1974
6001113	700	0.4355		0.1984
6002113	0.7	0.1558		0.1228
6002113	1.4	0.2164		0.1054
6002113	2.8	0.2397		0.0746
6002113	4.2	0.2418		0.0523
6002113	5.6	0.2456		0.0396
6002113	7	0.2499		0.0321
6002113	14	0.2599		0.0177
6002113	28	0.2545		0.0100
6002113	42	0.2403		0.0075
6002113	56	0.2234		0.0063
6002113	70	0.2066		0.0057
6002113	140	0.1495		0.0156
6002113	280	0.1544		0.0808
6002113	420	0.1755		0.1173
6002113	560	0.1889		0.1364
6002113	700	0.1976		0.1478
6002113	1400	0.2159		0.1702
6002113	2800	0.2252		0.1810
6002113	4200	0.2283		0.1845
6002113	5600	0.2298		0.1863
6002113	7000	0.2308		0.1873
6003113	7	0.3902		0.2612
6003113	14	0.3050		0.1862
6003113	28	0.2230		0.0862
6003113	42	0.1951		0.0515
6003113	56	0.1769		0.0374
6003113	70	0.1618		0.0296
6003113	140	0.1122		0.0140
6003113	280	0.0710		0.0062
6003113	420	0.0522		0.0038
6003113	560	0.0411		0.0028
6003113	700	0.0338		0.0022
6003113	1400	0.0183		0.0021
6003113	2800	0.0115		0.0030
6003113	4200	0.0097		0.0033
6003113	5600	0.0089		0.0034
6003113	7000	0.0084		0.0034
6003113	1.4e+04	0.0076		0.0035
6003113	2.8e+04	0.0073		0.0035
6003113	4.2e+04	0.0071		0.0035
6003113	5.6e+04	0.0071		0.0035
6003113	7e+04	0.0070		0.0035
