PDG	Ctau	Acceptance	StatError
6001113	0.04	0.7411		0.0421
6001113	0.08	0.7733		0.0277
6001113	0.16	0.7922		0.0183
6001113	0.24	0.7970		0.0145
6001113	0.32	0.7986		0.0124
6001113	0.4	0.7994		0.0111
6001113	0.8	0.8000		0.0079
6001113	1.6	0.7980		0.0059
6001113	2.4	0.7958		0.0052
6001113	3.2	0.7941		0.0049
6001113	4	0.7929		0.0048
6001113	8	0.7903		0.0074
6001113	16	0.7902		0.0199
6001113	24	0.7913		0.0285
6001113	32	0.7924		0.0337
6001113	40	0.7933		0.0372
6001113	80	0.7955		0.0445
6001113	160	0.7968		0.0484
6001113	240	0.7973		0.0497
6001113	320	0.7976		0.0504
6001113	400	0.7978		0.0508
6002113	0.4	0.8178		0.0306
6002113	0.8	0.8079		0.0231
6002113	1.6	0.8004		0.0168
6002113	2.4	0.7978		0.0140
6002113	3.2	0.7967		0.0123
6002113	4	0.7960		0.0111
6002113	8	0.7923		0.0081
6002113	16	0.7659		0.0061
6002113	24	0.7161		0.0056
6002113	32	0.6600		0.0056
6002113	40	0.6067		0.0058
6002113	80	0.4227		0.0082
6002113	160	0.2810		0.0153
6002113	240	0.2296		0.0189
6002113	320	0.2042		0.0206
6002113	400	0.1892		0.0216
6002113	800	0.1603		0.0230
6002113	1600	0.1466		0.0235
6002113	2400	0.1421		0.0236
6002113	3200	0.1399		0.0237
6002113	4000	0.1386		0.0237
6003113	4	0.7732		0.0365
6003113	8	0.7807		0.0256
6003113	16	0.7622		0.0176
6003113	24	0.7171		0.0147
6003113	32	0.6644		0.0133
6003113	40	0.6132		0.0125
6003113	80	0.4269		0.0103
6003113	160	0.2594		0.0074
6003113	240	0.1856		0.0057
6003113	320	0.1444		0.0046
6003113	400	0.1183		0.0039
6003113	800	0.0623		0.0024
6003113	1600	0.0335		0.0024
6003113	2400	0.0249		0.0025
6003113	3200	0.0210		0.0025
6003113	4000	0.0188		0.0024
6003113	8000	0.0149		0.0022
6003113	1.6e+04	0.0131		0.0021
6003113	2.4e+04	0.0125		0.0021
6003113	3.2e+04	0.0123		0.0021
6003113	4e+04	0.0121		0.0021
