PDG	Ctau	Acceptance	StatError
6001113	0.2	0.1643		0.1621
6001113	0.4	0.1708		0.1324
6001113	0.8	0.1992		0.0675
6001113	1.2	0.2199		0.0433
6001113	1.6	0.2286		0.0331
6001113	2	0.2326		0.0276
6001113	4	0.2417		0.0164
6001113	8	0.2495		0.0098
6001113	12	0.2520		0.0076
6001113	16	0.2522		0.0066
6001113	20	0.2510		0.0064
6001113	40	0.2380		0.0114
6001113	80	0.2139		0.0269
6001113	120	0.2013		0.0341
6001113	160	0.1942		0.0377
6001113	200	0.1898		0.0397
6001113	400	0.1807		0.0436
6001113	800	0.1760		0.0454
6001113	1200	0.1744		0.0460
6001113	1600	0.1736		0.0462
6001113	2000	0.1731		0.0464
6002113	2	0.2930		0.2594
6002113	4	0.2280		0.1560
6002113	8	0.2358		0.0888
6002113	12	0.2492		0.0600
6002113	16	0.2534		0.0443
6002113	20	0.2542		0.0350
6002113	40	0.2532		0.0181
6002113	80	0.2436		0.0101
6002113	120	0.2237		0.0074
6002113	160	0.2024		0.0062
6002113	200	0.1834		0.0055
6002113	400	0.1278		0.0065
6002113	800	0.0975		0.0111
6002113	1200	0.0889		0.0132
6002113	1600	0.0849		0.0142
6002113	2000	0.0827		0.0148
6002113	4000	0.0785		0.0160
6002113	8000	0.0766		0.0166
6002113	1.2e+04	0.0759		0.0168
6002113	1.6e+04	0.0756		0.0169
6002113	2e+04	0.0754		0.0170
6003113	20	0.4317		0.3791
6003113	40	0.3073		0.1875
6003113	80	0.2359		0.0834
6003113	120	0.2054		0.0545
6003113	160	0.1854		0.0404
6003113	200	0.1709		0.0318
6003113	400	0.1270		0.0144
6003113	800	0.0827		0.0065
6003113	1200	0.0600		0.0041
6003113	1600	0.0467		0.0030
6003113	2000	0.0381		0.0024
6003113	4000	0.0197		0.0016
6003113	8000	0.0110		0.0014
6003113	1.2e+04	0.0085		0.0014
6003113	1.6e+04	0.0075		0.0013
6003113	2e+04	0.0069		0.0013
6003113	4e+04	0.0057		0.0012
6003113	8e+04	0.0052		0.0012
6003113	1.2e+05	0.0051		0.0011
6003113	1.6e+05	0.0050		0.0011
6003113	2e+05	0.0050		0.0011
