PDG	Ctau	Acceptance	StatError
6001113	0.1	0.8171		0.0357
6001113	0.2	0.8136		0.0254
6001113	0.4	0.8081		0.0179
6001113	0.6	0.8048		0.0146
6001113	0.8	0.8024		0.0127
6001113	1	0.8004		0.0114
6001113	2	0.7956		0.0083
6001113	4	0.7928		0.0063
6001113	6	0.7915		0.0055
6001113	8	0.7906		0.0052
6001113	10	0.7896		0.0051
6001113	20	0.7763		0.0094
6001113	40	0.7394		0.0281
6001113	60	0.7155		0.0403
6001113	80	0.7008		0.0476
6001113	100	0.6910		0.0523
6001113	200	0.6693		0.0625
6001113	400	0.6575		0.0679
6001113	600	0.6534		0.0697
6001113	800	0.6513		0.0706
6001113	1000	0.6501		0.0712
6002113	1	0.8443		0.0319
6002113	2	0.8174		0.0244
6002113	4	0.8053		0.0179
6002113	6	0.8045		0.0147
6002113	8	0.8050		0.0128
6002113	10	0.8053		0.0114
6002113	20	0.8030		0.0082
6002113	40	0.7874		0.0062
6002113	60	0.7559		0.0056
6002113	80	0.7155		0.0056
6002113	100	0.6732		0.0059
6002113	200	0.5047		0.0095
6002113	400	0.3522		0.0177
6002113	600	0.2923		0.0213
6002113	800	0.2618		0.0230
6002113	1000	0.2437		0.0238
6002113	2000	0.2082		0.0250
6002113	4000	0.1910		0.0254
6002113	6000	0.1854		0.0255
6002113	8000	0.1827		0.0255
6002113	1e+04	0.1810		0.0255
6003113	10	0.7721		0.0372
6003113	20	0.7632		0.0274
6003113	40	0.7561		0.0194
6003113	60	0.7280		0.0159
6003113	80	0.6882		0.0140
6003113	100	0.6454		0.0129
6003113	200	0.4711		0.0105
6003113	400	0.2986		0.0079
6003113	600	0.2188		0.0062
6003113	800	0.1729		0.0052
6003113	1000	0.1429		0.0044
6003113	2000	0.0767		0.0028
6003113	4000	0.0428		0.0024
6003113	6000	0.0328		0.0024
6003113	8000	0.0283		0.0023
6003113	1e+04	0.0257		0.0023
6003113	2e+04	0.0210		0.0021
6003113	4e+04	0.0188		0.0021
6003113	6e+04	0.0182		0.0020
6003113	8e+04	0.0178		0.0020
6003113	1e+05	0.0176		0.0020
