PDG	Ctau	Acceptance	StatError
6001113	0.4	0.5179		0.3668
6001113	0.8	0.5932		0.2513
6001113	1.6	0.6854		0.1326
6001113	2.4	0.7167		0.0824
6001113	3.2	0.7261		0.0589
6001113	4	0.7282		0.0459
6001113	8	0.7275		0.0228
6001113	16	0.7290		0.0127
6001113	24	0.7288		0.0098
6001113	32	0.7278		0.0086
6001113	40	0.7258		0.0083
6001113	80	0.7077		0.0182
6001113	160	0.6853		0.0492
6001113	240	0.6766		0.0660
6001113	320	0.6723		0.0754
6001113	400	0.6697		0.0814
6001113	800	0.6647		0.0937
6001113	1600	0.6623		0.1001
6001113	2400	0.6615		0.1023
6001113	3200	0.6611		0.1034
6001113	4000	0.6609		0.1040
6002113	4	0.3977		0.2375
6002113	8	0.4295		0.1896
6002113	16	0.5222		0.1274
6002113	24	0.5881		0.0866
6002113	32	0.6287		0.0632
6002113	40	0.6541		0.0492
6002113	80	0.6960		0.0232
6002113	160	0.6947		0.0128
6002113	240	0.6667		0.0099
6002113	320	0.6284		0.0088
6002113	400	0.5882		0.0086
6002113	800	0.4432		0.0212
6002113	1600	0.3717		0.0852
6002113	2400	0.3646		0.1252
6002113	3200	0.3650		0.1477
6002113	4000	0.3664		0.1616
6002113	8000	0.3713		0.1900
6002113	1.6e+04	0.3746		0.2042
6002113	2.4e+04	0.3758		0.2089
6002113	3.2e+04	0.3764		0.2112
6002113	4e+04	0.3768		0.2126
6003113	40	0.9350		0.0538
6003113	80	0.8297		0.0967
6003113	160	0.7366		0.0827
6003113	240	0.6681		0.0635
6003113	320	0.6093		0.0508
6003113	400	0.5597		0.0423
6003113	800	0.4003		0.0225
6003113	1600	0.2601		0.0111
6003113	2400	0.1939		0.0072
6003113	3200	0.1545		0.0054
6003113	4000	0.1287		0.0044
6003113	8000	0.0782		0.0075
6003113	1.6e+04	0.0637		0.0236
6003113	2.4e+04	0.0607		0.0307
6003113	3.2e+04	0.0591		0.0340
6003113	4e+04	0.0581		0.0358
6003113	8e+04	0.0559		0.0388
6003113	1.6e+05	0.0547		0.0400
6003113	2.4e+05	0.0543		0.0404
6003113	3.2e+05	0.0541		0.0406
6003113	4e+05	0.0539		0.0407
