PDG	Ctau	Acceptance	StatError
1000022	1.6	0.9172		0.0228
1000022	3.2	0.8959		0.0193
1000022	6.4	0.8830		0.0157
1000022	9.6	0.8786		0.0135
1000022	12.8	0.8761		0.0120
1000022	16	0.8743		0.0109
1000022	32	0.8685		0.0082
1000022	64	0.8583		0.0064
1000022	96	0.8380		0.0058
1000022	128	0.8085		0.0058
1000022	160	0.7742		0.0063
1000022	320	0.6094		0.0137
1000022	640	0.4405		0.0288
1000022	960	0.3737		0.0353
1000022	1280	0.3401		0.0384
1000022	1600	0.3202		0.0402
1000022	3200	0.2816		0.0433
1000022	6400	0.2631		0.0446
1000022	9600	0.2571		0.0450
1000022	1.28e+04	0.2541		0.0452
1000022	1.6e+04	0.2523		0.0454
