PDG	Ctau	Acceptance	StatError
6001113	0.04	0.5664		0.2872
6001113	0.08	0.5744		0.1813
6001113	0.16	0.5426		0.0985
6001113	0.24	0.5377		0.0683
6001113	0.32	0.5436		0.0529
6001113	0.4	0.5515		0.0435
6001113	0.8	0.5744		0.0236
6001113	1.6	0.5793		0.0134
6001113	2.4	0.5790		0.0103
6001113	3.2	0.5795		0.0090
6001113	4	0.5802		0.0086
6001113	8	0.5801		0.0238
6001113	16	0.6011		0.0848
6001113	24	0.6206		0.1148
6001113	32	0.6329		0.1294
6001113	40	0.6409		0.1378
6001113	80	0.6581		0.1528
6001113	160	0.6671		0.1594
6001113	240	0.6702		0.1614
6001113	320	0.6717		0.1624
6001113	400	0.6726		0.1630
6002113	0.4	0.6423		0.3809
6002113	0.8	0.7065		0.1981
6002113	1.6	0.6948		0.1014
6002113	2.4	0.6747		0.0710
6002113	3.2	0.6584		0.0545
6002113	4	0.6454		0.0442
6002113	8	0.6057		0.0236
6002113	16	0.5594		0.0133
6002113	24	0.5136		0.0100
6002113	32	0.4694		0.0086
6002113	40	0.4289		0.0080
6002113	80	0.2898		0.0137
6002113	160	0.2024		0.0335
6002113	240	0.1804		0.0437
6002113	320	0.1717		0.0493
6002113	400	0.1671		0.0528
6002113	800	0.1596		0.0599
6002113	1600	0.1566		0.0634
6002113	2400	0.1557		0.0646
6002113	3200	0.1552		0.0652
6002113	4000	0.1550		0.0656
6003113	4	0.7882		0.2170
6003113	8	0.5940		0.2238
6003113	16	0.4975		0.1091
6003113	24	0.4664		0.0726
6003113	32	0.4351		0.0556
6003113	40	0.4028		0.0448
6003113	80	0.2770		0.0211
6003113	160	0.1628		0.0093
6003113	240	0.1141		0.0057
6003113	320	0.0879		0.0041
6003113	400	0.0717		0.0033
6003113	800	0.0386		0.0029
6003113	1600	0.0239		0.0041
6003113	2400	0.0198		0.0045
6003113	3200	0.0179		0.0046
6003113	4000	0.0169		0.0047
6003113	8000	0.0149		0.0047
6003113	1.6e+04	0.0140		0.0047
6003113	2.4e+04	0.0137		0.0047
6003113	3.2e+04	0.0136		0.0047
6003113	4e+04	0.0135		0.0047
