PDG	Ctau	Acceptance	StatError
6001113	0.2	0.2034		0.1933
6001113	0.4	0.1846		0.1364
6001113	0.8	0.2084		0.0749
6001113	1.2	0.2365		0.0529
6001113	1.6	0.2531		0.0417
6001113	2	0.2620		0.0345
6001113	4	0.2746		0.0188
6001113	8	0.2785		0.0104
6001113	12	0.2797		0.0080
6001113	16	0.2805		0.0070
6001113	20	0.2814		0.0068
6001113	40	0.2939		0.0174
6001113	80	0.3087		0.0578
6001113	120	0.3100		0.0800
6001113	160	0.3092		0.0918
6001113	200	0.3082		0.0990
6001113	400	0.3050		0.1130
6001113	800	0.3028		0.1196
6001113	1200	0.3020		0.1218
6001113	1600	0.3016		0.1229
6001113	2000	0.3013		0.1235
6002113	2	0.0309		0.0250
6002113	4	0.1297		0.0670
6002113	8	0.2217		0.0606
6002113	12	0.2510		0.0460
6002113	16	0.2641		0.0369
6002113	20	0.2716		0.0311
6002113	40	0.2835		0.0182
6002113	80	0.2722		0.0105
6002113	120	0.2512		0.0078
6002113	160	0.2309		0.0066
6002113	200	0.2135		0.0059
6002113	400	0.1533		0.0116
6002113	800	0.0681		0.0337
6002113	1200	0.0391		0.0270
6002113	1600	0.0283		0.0218
6002113	2000	0.0230		0.0186
6002113	4000	0.0150		0.0131
6002113	8000	0.0121		0.0109
6002113	1.2e+04	0.0112		0.0102
6002113	1.6e+04	0.0108		0.0099
6002113	2e+04	0.0106		0.0097
6003113	20	0.0666		0.0475
6003113	40	0.2207		0.0866
6003113	80	0.2809		0.0665
6003113	120	0.2746		0.0512
6003113	160	0.2586		0.0408
6003113	200	0.2407		0.0335
6003113	400	0.1677		0.0167
6003113	800	0.0985		0.0075
6003113	1200	0.0694		0.0045
6003113	1600	0.0539		0.0033
6003113	2000	0.0445		0.0026
6003113	4000	0.0270		0.0034
6003113	8000	0.0215		0.0085
6003113	1.2e+04	0.0201		0.0107
6003113	1.6e+04	0.0194		0.0118
6003113	2e+04	0.0189		0.0123
6003113	4e+04	0.0179		0.0133
6003113	8e+04	0.0174		0.0137
6003113	1.2e+05	0.0172		0.0138
6003113	1.6e+05	0.0172		0.0138
6003113	2e+05	0.0171		0.0139
