PDG	Ctau	Acceptance	StatError
6001113	0.13	0.2571		0.2131
6001113	0.26	0.1931		0.1261
6001113	0.52	0.1405		0.0620
6001113	0.78	0.1209		0.0387
6001113	1.04	0.1123		0.0277
6001113	1.3	0.1077		0.0216
6001113	2.6	0.0977		0.0107
6001113	5.2	0.0902		0.0058
6001113	7.8	0.0874		0.0043
6001113	10.4	0.0863		0.0037
6001113	13	0.0860		0.0036
6001113	26	0.0847		0.0059
6001113	52	0.0771		0.0102
6001113	78	0.0723		0.0117
6001113	104	0.0695		0.0124
6001113	130	0.0677		0.0127
6001113	260	0.0639		0.0133
6001113	520	0.0619		0.0136
6001113	780	0.0613		0.0136
6001113	1040	0.0609		0.0137
6001113	1300	0.0607		0.0137
6002113	1.3	0.0006		0.0007
6002113	2.6	0.0168		0.0147
6002113	5.2	0.0626		0.0288
6002113	7.8	0.0811		0.0255
6002113	10.4	0.0879		0.0216
6002113	13	0.0903		0.0185
6002113	26	0.0880		0.0105
6002113	52	0.0788		0.0057
6002113	78	0.0688		0.0041
6002113	104	0.0598		0.0033
6002113	130	0.0527		0.0028
6002113	260	0.0365		0.0037
6002113	520	0.0295		0.0072
6002113	780	0.0274		0.0086
6002113	1040	0.0264		0.0092
6002113	1300	0.0258		0.0096
6002113	2600	0.0247		0.0102
6002113	5200	0.0241		0.0105
6002113	7800	0.0239		0.0106
6002113	1.04e+04	0.0238		0.0106
6002113	1.3e+04	0.0237		0.0106
6003113	13	0.0379		0.0390
6003113	26	0.0880		0.0683
6003113	52	0.0806		0.0477
6003113	78	0.0587		0.0304
6003113	104	0.0461		0.0210
6003113	130	0.0388		0.0155
6003113	260	0.0257		0.0061
6003113	520	0.0173		0.0028
6003113	780	0.0130		0.0018
6003113	1040	0.0104		0.0013
6003113	1300	0.0085		0.0011
6003113	2600	0.0041		0.0007
6003113	5200	0.0019		0.0005
6003113	7800	0.0013		0.0005
6003113	1.04e+04	0.0011		0.0004
6003113	1.3e+04	0.0009		0.0004
6003113	2.6e+04	0.0007		0.0003
6003113	5.2e+04	0.0006		0.0003
6003113	7.8e+04	0.0006		0.0003
6003113	1.04e+05	0.0006		0.0003
6003113	1.3e+05	0.0006		0.0003
