PDG	Ctau	Acceptance	StatError
6001113	0.04	0.6003		0.0427
6001113	0.08	0.6059		0.0300
6001113	0.16	0.6006		0.0210
6001113	0.24	0.5964		0.0171
6001113	0.32	0.5935		0.0149
6001113	0.4	0.5913		0.0134
6001113	0.8	0.5855		0.0099
6001113	1.6	0.5796		0.0074
6001113	2.4	0.5756		0.0065
6001113	3.2	0.5727		0.0061
6001113	4	0.5705		0.0059
6001113	8	0.5668		0.0091
6001113	16	0.5726		0.0207
6001113	24	0.5781		0.0278
6001113	32	0.5817		0.0319
6001113	40	0.5842		0.0346
6001113	80	0.5898		0.0403
6001113	160	0.5929		0.0432
6001113	240	0.5939		0.0443
6001113	320	0.5945		0.0448
6001113	400	0.5948		0.0451
6002113	0.4	0.6102		0.0396
6002113	0.8	0.5940		0.0284
6002113	1.6	0.5851		0.0204
6002113	2.4	0.5807		0.0168
6002113	3.2	0.5787		0.0147
6002113	4	0.5780		0.0132
6002113	8	0.5769		0.0097
6002113	16	0.5562		0.0073
6002113	24	0.5164		0.0065
6002113	32	0.4726		0.0061
6002113	40	0.4314		0.0059
6002113	80	0.2913		0.0064
6002113	160	0.1865		0.0100
6002113	240	0.1498		0.0116
6002113	320	0.1321		0.0123
6002113	400	0.1218		0.0127
6002113	800	0.1021		0.0132
6002113	1600	0.0929		0.0133
6002113	2400	0.0899		0.0133
6002113	3200	0.0885		0.0133
6002113	4000	0.0876		0.0133
6003113	4	0.6181		0.0401
6003113	8	0.5944		0.0294
6003113	16	0.5629		0.0215
6003113	24	0.5214		0.0179
6003113	32	0.4776		0.0157
6003113	40	0.4368		0.0143
6003113	80	0.2960		0.0103
6003113	160	0.1754		0.0067
6003113	240	0.1239		0.0049
6003113	320	0.0956		0.0039
6003113	400	0.0777		0.0032
6003113	800	0.0406		0.0018
6003113	1600	0.0226		0.0016
6003113	2400	0.0172		0.0016
6003113	3200	0.0148		0.0016
6003113	4000	0.0134		0.0016
6003113	8000	0.0108		0.0016
6003113	1.6e+04	0.0096		0.0015
6003113	2.4e+04	0.0093		0.0015
6003113	3.2e+04	0.0091		0.0015
6003113	4e+04	0.0090		0.0015
