PDG	Ctau	Acceptance	StatError
6001113	0.08	0.5393		0.0436
6001113	0.16	0.5571		0.0303
6001113	0.32	0.5628		0.0214
6001113	0.48	0.5651		0.0175
6001113	0.64	0.5659		0.0153
6001113	0.8	0.5659		0.0137
6001113	1.6	0.5624		0.0100
6001113	3.2	0.5565		0.0075
6001113	4.8	0.5541		0.0065
6001113	6.4	0.5536		0.0061
6001113	8	0.5537		0.0060
6001113	16	0.5371		0.0225
6001113	32	0.3662		0.1328
6001113	48	0.2559		0.1445
6001113	64	0.2036		0.1344
6001113	80	0.1753		0.1247
6001113	160	0.1272		0.1017
6001113	320	0.1075		0.0899
6001113	480	0.1016		0.0861
6001113	640	0.0988		0.0842
6001113	800	0.0971		0.0831
6002113	0.8	0.5950		0.0394
6002113	1.6	0.5754		0.0284
6002113	3.2	0.5664		0.0208
6002113	4.8	0.5636		0.0172
6002113	6.4	0.5630		0.0151
6002113	8	0.5632		0.0135
6002113	16	0.5655		0.0098
6002113	32	0.5577		0.0073
6002113	48	0.5329		0.0065
6002113	64	0.5003		0.0061
6002113	80	0.4660		0.0059
6002113	160	0.3276		0.0076
6002113	320	0.2046		0.0132
6002113	480	0.1599		0.0147
6002113	640	0.1384		0.0150
6002113	800	0.1260		0.0151
6002113	1600	0.1029		0.0146
6002113	3200	0.0922		0.0142
6002113	4800	0.0888		0.0141
6002113	6400	0.0871		0.0140
6002113	8000	0.0861		0.0139
6003113	8	0.5880		0.0423
6003113	16	0.5602		0.0303
6003113	32	0.5312		0.0217
6003113	48	0.5029		0.0178
6003113	64	0.4712		0.0155
6003113	80	0.4396		0.0140
6003113	160	0.3164		0.0101
6003113	320	0.1963		0.0068
6003113	480	0.1411		0.0051
6003113	640	0.1098		0.0041
6003113	800	0.0898		0.0034
6003113	1600	0.0469		0.0020
6003113	3200	0.0259		0.0017
6003113	4800	0.0198		0.0017
6003113	6400	0.0170		0.0017
6003113	8000	0.0154		0.0017
6003113	1.6e+04	0.0125		0.0016
6003113	3.2e+04	0.0112		0.0016
6003113	4.8e+04	0.0108		0.0016
6003113	6.4e+04	0.0106		0.0015
6003113	8e+04	0.0105		0.0015
