PDG	Ctau	Acceptance	StatError
6001113	0.07	0.3823		0.3505
6001113	0.14	0.2415		0.1907
6001113	0.28	0.1873		0.0802
6001113	0.42	0.1972		0.0491
6001113	0.56	0.2148		0.0364
6001113	0.7	0.2304		0.0297
6001113	1.4	0.2659		0.0173
6001113	2.8	0.2803		0.0104
6001113	4.2	0.2856		0.0081
6001113	5.6	0.2885		0.0072
6001113	7	0.2906		0.0069
6001113	14	0.2949		0.0131
6001113	28	0.2888		0.0296
6001113	42	0.2824		0.0379
6001113	56	0.2781		0.0423
6001113	70	0.2752		0.0450
6001113	140	0.2686		0.0503
6001113	280	0.2649		0.0530
6001113	420	0.2636		0.0538
6001113	560	0.2629		0.0543
6001113	700	0.2625		0.0545
6002113	0.7	0.4818		0.2706
6002113	1.4	0.4083		0.1604
6002113	2.8	0.3317		0.0860
6002113	4.2	0.3130		0.0591
6002113	5.6	0.3101		0.0450
6002113	7	0.3105		0.0364
6002113	14	0.3097		0.0193
6002113	28	0.2943		0.0109
6002113	42	0.2708		0.0081
6002113	56	0.2465		0.0067
6002113	70	0.2240		0.0060
6002113	140	0.1397		0.0078
6002113	280	0.0693		0.0126
6002113	420	0.0483		0.0119
6002113	560	0.0393		0.0111
6002113	700	0.0346		0.0104
6002113	1400	0.0263		0.0090
6002113	2800	0.0229		0.0082
6002113	4200	0.0218		0.0080
6002113	5600	0.0213		0.0079
6002113	7000	0.0210		0.0078
6003113	7	0.0995		0.0807
6003113	14	0.1389		0.0818
6003113	28	0.1773		0.0591
6003113	42	0.2026		0.0439
6003113	56	0.2107		0.0349
6003113	70	0.2087		0.0291
6003113	140	0.1613		0.0156
6003113	280	0.0956		0.0071
6003113	420	0.0666		0.0043
6003113	560	0.0511		0.0031
6003113	700	0.0417		0.0025
6003113	1400	0.0226		0.0024
6003113	2800	0.0123		0.0033
6003113	4200	0.0093		0.0033
6003113	5600	0.0080		0.0033
6003113	7000	0.0072		0.0032
6003113	1.4e+04	0.0059		0.0030
6003113	2.8e+04	0.0053		0.0028
6003113	4.2e+04	0.0052		0.0028
6003113	5.6e+04	0.0051		0.0028
6003113	7e+04	0.0050		0.0027
