PDG	Ctau	Acceptance	StatError
6001113	0.5	0.0922		0.0256
6001113	1	0.0911		0.0178
6001113	2	0.0872		0.0125
6001113	3	0.0851		0.0102
6001113	4	0.0838		0.0088
6001113	5	0.0830		0.0079
6001113	10	0.0812		0.0057
6001113	20	0.0798		0.0042
6001113	30	0.0789		0.0036
6001113	40	0.0783		0.0034
6001113	50	0.0778		0.0033
6001113	100	0.0746		0.0045
6001113	200	0.0645		0.0073
6001113	300	0.0582		0.0084
6001113	400	0.0546		0.0088
6001113	500	0.0523		0.0091
6001113	1000	0.0475		0.0094
6001113	2000	0.0450		0.0095
6001113	3000	0.0441		0.0095
6001113	4000	0.0437		0.0095
6001113	5000	0.0435		0.0095
6002113	5	0.1032		0.0248
6002113	10	0.1010		0.0186
6002113	20	0.0930		0.0135
6002113	30	0.0892		0.0109
6002113	40	0.0873		0.0094
6002113	50	0.0861		0.0083
6002113	100	0.0817		0.0059
6002113	200	0.0717		0.0042
6002113	300	0.0621		0.0035
6002113	400	0.0542		0.0030
6002113	500	0.0479		0.0026
6002113	1000	0.0304		0.0018
6002113	2000	0.0194		0.0013
6002113	3000	0.0158		0.0012
6002113	4000	0.0141		0.0011
6002113	5000	0.0131		0.0011
6002113	1e+04	0.0112		0.0010
6002113	2e+04	0.0104		0.0010
6002113	3e+04	0.0101		0.0010
6002113	4e+04	0.0099		0.0010
6002113	5e+04	0.0098		0.0010
6003113	50	0.0938		0.0247
6003113	100	0.0864		0.0177
6003113	200	0.0741		0.0123
6003113	300	0.0644		0.0098
6003113	400	0.0567		0.0083
6003113	500	0.0506		0.0072
6003113	1000	0.0325		0.0044
6003113	2000	0.0188		0.0026
6003113	3000	0.0132		0.0018
6003113	4000	0.0102		0.0014
6003113	5000	0.0083		0.0011
6003113	1e+04	0.0042		0.0006
6003113	2e+04	0.0023		0.0003
6003113	3e+04	0.0018		0.0003
6003113	4e+04	0.0015		0.0002
6003113	5e+04	0.0014		0.0002
6003113	1e+05	0.0011		0.0002
6003113	2e+05	0.0010		0.0002
6003113	3e+05	0.0010		0.0002
6003113	4e+05	0.0009		0.0002
6003113	5e+05	0.0009		0.0002
