PDG	Ctau	Acceptance	StatError
1000022	1.6	0.8576		0.0366
1000022	3.2	0.8643		0.0262
1000022	6.4	0.8647		0.0183
1000022	9.6	0.8644		0.0149
1000022	12.8	0.8645		0.0129
1000022	16	0.8649		0.0116
1000022	32	0.8671		0.0086
1000022	64	0.8642		0.0064
1000022	96	0.8469		0.0057
1000022	128	0.8203		0.0057
1000022	160	0.7897		0.0061
1000022	320	0.6301		0.0247
1000022	640	0.3804		0.1035
1000022	960	0.2671		0.1158
1000022	1280	0.2142		0.1114
1000022	1600	0.1852		0.1057
1000022	3200	0.1350		0.0898
1000022	6400	0.1140		0.0807
1000022	9600	0.1076		0.0777
1000022	1.28e+04	0.1046		0.0761
1000022	1.6e+04	0.1027		0.0752
