PDG	Ctau	Acceptance	StatError
6001113	0.04	0.9433		0.0572
6001113	0.08	0.8646		0.0885
6001113	0.16	0.8275		0.0720
6001113	0.24	0.8137		0.0570
6001113	0.32	0.8060		0.0463
6001113	0.4	0.8013		0.0387
6001113	0.8	0.7924		0.0213
6001113	1.6	0.7879		0.0121
6001113	2.4	0.7867		0.0092
6001113	3.2	0.7872		0.0080
6001113	4	0.7884		0.0077
6001113	8	0.7976		0.0173
6001113	16	0.8128		0.0481
6001113	24	0.8196		0.0625
6001113	32	0.8230		0.0699
6001113	40	0.8251		0.0742
6001113	80	0.8292		0.0825
6001113	160	0.8312		0.0865
6001113	240	0.8319		0.0878
6001113	320	0.8322		0.0884
6001113	400	0.8324		0.0888
6002113	0.4	0.6608		0.2521
6002113	0.8	0.6895		0.1790
6002113	1.6	0.7365		0.1098
6002113	2.4	0.7611		0.0762
6002113	3.2	0.7762		0.0572
6002113	4	0.7858		0.0453
6002113	8	0.7978		0.0218
6002113	16	0.7714		0.0119
6002113	24	0.7211		0.0094
6002113	32	0.6654		0.0087
6002113	40	0.6121		0.0087
6002113	80	0.3806		0.0383
6002113	160	0.1222		0.0638
6002113	240	0.0646		0.0432
6002113	320	0.0457		0.0332
6002113	400	0.0369		0.0279
6002113	800	0.0239		0.0192
6002113	1600	0.0192		0.0158
6002113	2400	0.0179		0.0148
6002113	3200	0.0172		0.0144
6002113	4000	0.0169		0.0141
6003113	4	0.7421		0.2160
6003113	8	0.7357		0.1637
6003113	16	0.7388		0.0939
6003113	24	0.7019		0.0655
6003113	32	0.6510		0.0512
6003113	40	0.6001		0.0426
6003113	80	0.4152		0.0234
6003113	160	0.2484		0.0112
6003113	240	0.1772		0.0070
6003113	320	0.1391		0.0051
6003113	400	0.1154		0.0042
6003113	800	0.0683		0.0042
6003113	1600	0.0484		0.0073
6003113	2400	0.0429		0.0087
6003113	3200	0.0403		0.0094
6003113	4000	0.0389		0.0098
6003113	8000	0.0361		0.0106
6003113	1.6e+04	0.0347		0.0110
6003113	2.4e+04	0.0343		0.0111
6003113	3.2e+04	0.0341		0.0111
6003113	4e+04	0.0340		0.0112
