PDG	Ctau	Acceptance	StatError
6001113	0.2	0.2751		0.0353
6001113	0.4	0.2797		0.0253
6001113	0.8	0.2812		0.0186
6001113	1.2	0.2804		0.0155
6001113	1.6	0.2796		0.0135
6001113	2	0.2789		0.0122
6001113	4	0.2772		0.0088
6001113	8	0.2761		0.0066
6001113	12	0.2757		0.0058
6001113	16	0.2756		0.0054
6001113	20	0.2753		0.0053
6001113	40	0.2716		0.0073
6001113	80	0.2622		0.0140
6001113	120	0.2564		0.0182
6001113	160	0.2529		0.0207
6001113	200	0.2506		0.0223
6001113	400	0.2456		0.0258
6001113	800	0.2429		0.0277
6001113	1200	0.2419		0.0283
6001113	1600	0.2414		0.0287
6001113	2000	0.2412		0.0289
6002113	2	0.2643		0.0399
6002113	4	0.2572		0.0277
6002113	8	0.2654		0.0194
6002113	12	0.2744		0.0160
6002113	16	0.2802		0.0140
6002113	20	0.2837		0.0127
6002113	40	0.2866		0.0092
6002113	80	0.2741		0.0068
6002113	120	0.2540		0.0058
6002113	160	0.2329		0.0053
6002113	200	0.2131		0.0049
6002113	400	0.1415		0.0045
6002113	800	0.0813		0.0070
6002113	1200	0.0603		0.0078
6002113	1600	0.0505		0.0079
6002113	2000	0.0450		0.0078
6002113	4000	0.0349		0.0074
6002113	8000	0.0305		0.0070
6002113	1.2e+04	0.0291		0.0069
6002113	1.6e+04	0.0284		0.0069
6002113	2e+04	0.0280		0.0068
6003113	20	0.2887		0.0394
6003113	40	0.2841		0.0282
6003113	80	0.2767		0.0197
6003113	120	0.2570		0.0160
6003113	160	0.2344		0.0137
6003113	200	0.2134		0.0121
6003113	400	0.1426		0.0080
6003113	800	0.0844		0.0049
6003113	1200	0.0599		0.0035
6003113	1600	0.0464		0.0027
6003113	2000	0.0378		0.0023
6003113	4000	0.0196		0.0012
6003113	8000	0.0109		0.0008
6003113	1.2e+04	0.0084		0.0007
6003113	1.6e+04	0.0073		0.0006
6003113	2e+04	0.0066		0.0006
6003113	4e+04	0.0055		0.0006
6003113	8e+04	0.0049		0.0005
6003113	1.2e+05	0.0048		0.0005
6003113	1.6e+05	0.0047		0.0005
6003113	2e+05	0.0046		0.0005
