PDG	Ctau	Acceptance	StatError
6001113	0.13	0.0218		0.0287
6001113	0.26	0.0568		0.0593
6001113	0.52	0.0552		0.0404
6001113	0.78	0.0525		0.0257
6001113	1.04	0.0528		0.0182
6001113	1.3	0.0536		0.0141
6001113	2.6	0.0546		0.0076
6001113	5.2	0.0534		0.0044
6001113	7.8	0.0533		0.0033
6001113	10.4	0.0531		0.0029
6001113	13	0.0527		0.0028
6001113	26	0.0450		0.0041
6001113	52	0.0276		0.0058
6001113	78	0.0208		0.0055
6001113	104	0.0178		0.0052
6001113	130	0.0161		0.0050
6001113	260	0.0130		0.0044
6001113	520	0.0116		0.0042
6001113	780	0.0112		0.0041
6001113	1040	0.0110		0.0040
6001113	1300	0.0109		0.0040
6002113	1.3	0.0096		0.0114
6002113	2.6	0.0280		0.0280
6002113	5.2	0.0374		0.0261
6002113	7.8	0.0424		0.0210
6002113	10.4	0.0454		0.0174
6002113	13	0.0472		0.0147
6002113	26	0.0480		0.0080
6002113	52	0.0427		0.0042
6002113	78	0.0368		0.0030
6002113	104	0.0317		0.0024
6002113	130	0.0275		0.0020
6002113	260	0.0149		0.0013
6002113	520	0.0075		0.0011
6002113	780	0.0054		0.0010
6002113	1040	0.0045		0.0009
6002113	1300	0.0041		0.0009
6002113	2600	0.0032		0.0008
6002113	5200	0.0028		0.0007
6002113	7800	0.0027		0.0007
6002113	1.04e+04	0.0027		0.0007
6002113	1.3e+04	0.0026		0.0007
6003113	13	0.0052		0.0057
6003113	26	0.0099		0.0081
6003113	52	0.0134		0.0098
6003113	78	0.0129		0.0089
6003113	104	0.0117		0.0074
6003113	130	0.0106		0.0061
6003113	260	0.0071		0.0030
6003113	520	0.0043		0.0014
6003113	780	0.0031		0.0009
6003113	1040	0.0024		0.0006
6003113	1300	0.0020		0.0005
6003113	2600	0.0010		0.0004
6003113	5200	0.0005		0.0003
6003113	7800	0.0003		0.0002
6003113	1.04e+04	0.0003		0.0002
6003113	1.3e+04	0.0002		0.0002
6003113	2.6e+04	0.0002		0.0001
6003113	5.2e+04	0.0002		0.0001
6003113	7.8e+04	0.0001		0.0001
6003113	1.04e+05	0.0001		0.0001
6003113	1.3e+05	0.0001		0.0001
