PDG	Ctau	Acceptance	StatError
1000022	1.65	0.0289		0.0312
1000022	3.3	0.0848		0.0652
1000022	6.6	0.1037		0.0583
1000022	9.9	0.1013		0.0443
1000022	13.2	0.0985		0.0350
1000022	16.5	0.0965		0.0288
1000022	33	0.0921		0.0152
1000022	66	0.0859		0.0080
1000022	99	0.0793		0.0057
1000022	132	0.0730		0.0046
1000022	165	0.0673		0.0041
1000022	330	0.0470		0.0047
1000022	660	0.0307		0.0065
1000022	990	0.0251		0.0069
1000022	1320	0.0224		0.0069
1000022	1650	0.0209		0.0069
1000022	3300	0.0179		0.0068
1000022	6600	0.0166		0.0067
1000022	9900	0.0161		0.0066
1000022	1.32e+04	0.0159		0.0066
1000022	1.65e+04	0.0158		0.0066
