PDG	Ctau	Acceptance	StatError
6001113	0.1	0.9732		0.0493
6001113	0.2	0.9262		0.0956
6001113	0.4	0.8815		0.0711
6001113	0.6	0.8504		0.0538
6001113	0.8	0.8268		0.0442
6001113	1	0.8099		0.0377
6001113	2	0.7825		0.0219
6001113	4	0.7847		0.0127
6001113	6	0.7870		0.0096
6001113	8	0.7874		0.0084
6001113	10	0.7875		0.0080
6001113	20	0.8022		0.0222
6001113	40	0.8750		0.0582
6001113	60	0.9078		0.0577
6001113	80	0.9224		0.0543
6001113	100	0.9304		0.0515
6001113	200	0.9444		0.0452
6001113	400	0.9505		0.0419
6001113	600	0.9524		0.0408
6001113	800	0.9533		0.0403
6001113	1000	0.9538		0.0399
6002113	1	0.6721		0.2850
6002113	2	0.6653		0.1993
6002113	4	0.7232		0.1146
6002113	6	0.7536		0.0786
6002113	8	0.7680		0.0589
6002113	10	0.7750		0.0470
6002113	20	0.7824		0.0240
6002113	40	0.7738		0.0130
6002113	60	0.7444		0.0098
6002113	80	0.7033		0.0089
6002113	100	0.6590		0.0090
6002113	200	0.4269		0.0457
6002113	400	0.1390		0.0799
6002113	600	0.0767		0.0567
6002113	800	0.0562		0.0453
6002113	1000	0.0467		0.0393
6002113	2000	0.0323		0.0293
6002113	4000	0.0270		0.0252
6002113	6000	0.0255		0.0240
6002113	8000	0.0247		0.0234
6002113	1e+04	0.0243		0.0231
6003113	10	0.8638		0.1315
6003113	20	0.8205		0.1373
6003113	40	0.7887		0.1031
6003113	60	0.7463		0.0753
6003113	80	0.6967		0.0579
6003113	100	0.6462		0.0470
6003113	200	0.4556		0.0249
6003113	400	0.2865		0.0122
6003113	600	0.2113		0.0079
6003113	800	0.1684		0.0059
6003113	1000	0.1405		0.0049
6003113	2000	0.0793		0.0044
6003113	4000	0.0464		0.0072
6003113	6000	0.0360		0.0082
6003113	8000	0.0312		0.0085
6003113	1e+04	0.0285		0.0086
6003113	2e+04	0.0234		0.0086
6003113	4e+04	0.0210		0.0084
6003113	6e+04	0.0203		0.0084
6003113	8e+04	0.0199		0.0083
6003113	1e+05	0.0197		0.0083
