PDG	Ctau	Acceptance	StatError
6001113	0.13	0.0869		0.0234
6001113	0.26	0.0867		0.0161
6001113	0.52	0.0912		0.0116
6001113	0.78	0.0945		0.0097
6001113	1.04	0.0960		0.0086
6001113	1.3	0.0965		0.0078
6001113	2.6	0.0950		0.0058
6001113	5.2	0.0936		0.0043
6001113	7.8	0.0938		0.0037
6001113	10.4	0.0938		0.0035
6001113	13	0.0936		0.0034
6001113	26	0.0957		0.0072
6001113	52	0.1157		0.0316
6001113	78	0.1330		0.0503
6001113	104	0.1447		0.0623
6001113	130	0.1529		0.0703
6001113	260	0.1719		0.0881
6001113	520	0.1828		0.0977
6001113	780	0.1866		0.1010
6001113	1040	0.1886		0.1027
6001113	1300	0.1898		0.1037
6002113	1.3	0.0588		0.0181
6002113	2.6	0.0697		0.0142
6002113	5.2	0.0748		0.0105
6002113	7.8	0.0767		0.0088
6002113	10.4	0.0783		0.0077
6002113	13	0.0798		0.0070
6002113	26	0.0830		0.0054
6002113	52	0.0779		0.0041
6002113	78	0.0691		0.0035
6002113	104	0.0611		0.0030
6002113	130	0.0544		0.0027
6002113	260	0.0347		0.0018
6002113	520	0.0219		0.0015
6002113	780	0.0176		0.0014
6002113	1040	0.0155		0.0014
6002113	1300	0.0143		0.0014
6002113	2600	0.0121		0.0014
6002113	5200	0.0110		0.0013
6002113	7800	0.0107		0.0013
6002113	1.04e+04	0.0105		0.0013
6002113	1.3e+04	0.0104		0.0013
6003113	13	0.0720		0.0229
6003113	26	0.0635		0.0160
6003113	52	0.0526		0.0106
6003113	78	0.0449		0.0082
6003113	104	0.0389		0.0068
6003113	130	0.0342		0.0059
6003113	260	0.0210		0.0035
6003113	520	0.0116		0.0019
6003113	780	0.0080		0.0013
6003113	1040	0.0061		0.0010
6003113	1300	0.0050		0.0008
6003113	2600	0.0026		0.0004
6003113	5200	0.0015		0.0002
6003113	7800	0.0011		0.0002
6003113	1.04e+04	0.0010		0.0002
6003113	1.3e+04	0.0009		0.0002
6003113	2.6e+04	0.0008		0.0001
6003113	5.2e+04	0.0007		0.0001
6003113	7.8e+04	0.0007		0.0001
6003113	1.04e+05	0.0007		0.0001
6003113	1.3e+05	0.0006		0.0001
