PDG	Ctau	Acceptance	StatError
6001113	0.08	0.2817		0.1691
6001113	0.16	0.3420		0.1396
6001113	0.32	0.4506		0.0962
6001113	0.48	0.5074		0.0702
6001113	0.64	0.5351		0.0546
6001113	0.8	0.5490		0.0446
6001113	1.6	0.5629		0.0236
6001113	3.2	0.5579		0.0133
6001113	4.8	0.5556		0.0102
6001113	6.4	0.5558		0.0089
6001113	8	0.5574		0.0085
6001113	16	0.5567		0.0239
6001113	32	0.5036		0.0802
6001113	48	0.4672		0.1059
6001113	64	0.4463		0.1180
6001113	80	0.4331		0.1248
6001113	160	0.4059		0.1367
6001113	320	0.3921		0.1417
6001113	480	0.3875		0.1432
6001113	640	0.3852		0.1439
6001113	800	0.3838		0.1444
6002113	0.8	0.4326		0.3626
6002113	1.6	0.4647		0.2469
6002113	3.2	0.5186		0.1203
6002113	4.8	0.5326		0.0741
6002113	6.4	0.5384		0.0545
6002113	8	0.5420		0.0439
6002113	16	0.5496		0.0238
6002113	32	0.5434		0.0134
6002113	48	0.5214		0.0101
6002113	64	0.4915		0.0087
6002113	80	0.4600		0.0082
6002113	160	0.3311		0.0178
6002113	320	0.2044		0.0483
6002113	480	0.1584		0.0547
6002113	640	0.1370		0.0554
6002113	800	0.1250		0.0551
6002113	1600	0.1032		0.0529
6002113	3200	0.0934		0.0512
6002113	4800	0.0903		0.0505
6002113	6400	0.0888		0.0502
6002113	8000	0.0879		0.0500
6003113	8	0.3376		0.1796
6003113	16	0.4449		0.1525
6003113	32	0.5295		0.1026
6003113	48	0.5297		0.0702
6003113	64	0.5042		0.0522
6003113	80	0.4739		0.0418
6003113	160	0.3506		0.0217
6003113	320	0.2194		0.0105
6003113	480	0.1555		0.0066
6003113	640	0.1192		0.0048
6003113	800	0.0963		0.0038
6003113	1600	0.0502		0.0032
6003113	3200	0.0311		0.0041
6003113	4800	0.0259		0.0045
6003113	6400	0.0237		0.0046
6003113	8000	0.0224		0.0047
6003113	1.6e+04	0.0200		0.0048
6003113	3.2e+04	0.0189		0.0048
6003113	4.8e+04	0.0185		0.0048
6003113	6.4e+04	0.0183		0.0048
6003113	8e+04	0.0182		0.0048
