PDG	Ctau	Acceptance	StatError
6001113	0.5	0.0323		0.0138
6001113	1	0.0340		0.0100
6001113	2	0.0394		0.0075
6001113	3	0.0421		0.0065
6001113	4	0.0429		0.0059
6001113	5	0.0429		0.0055
6001113	10	0.0417		0.0041
6001113	20	0.0418		0.0030
6001113	30	0.0425		0.0027
6001113	40	0.0428		0.0025
6001113	50	0.0429		0.0025
6001113	100	0.0411		0.0033
6001113	200	0.0344		0.0058
6001113	300	0.0301		0.0070
6001113	400	0.0277		0.0075
6001113	500	0.0261		0.0078
6001113	1000	0.0228		0.0081
6001113	2000	0.0212		0.0081
6001113	3000	0.0207		0.0081
6001113	4000	0.0204		0.0081
6001113	5000	0.0203		0.0081
6002113	5	0.0383		0.0141
6002113	10	0.0395		0.0113
6002113	20	0.0384		0.0083
6002113	30	0.0377		0.0068
6002113	40	0.0375		0.0060
6002113	50	0.0373		0.0054
6002113	100	0.0353		0.0039
6002113	200	0.0287		0.0028
6002113	300	0.0233		0.0022
6002113	400	0.0195		0.0019
6002113	500	0.0167		0.0016
6002113	1000	0.0098		0.0010
6002113	2000	0.0059		0.0006
6002113	3000	0.0046		0.0006
6002113	4000	0.0041		0.0005
6002113	5000	0.0037		0.0005
6002113	1e+04	0.0031		0.0005
6002113	2e+04	0.0028		0.0004
6002113	3e+04	0.0027		0.0004
6002113	4e+04	0.0026		0.0004
6002113	5e+04	0.0026		0.0004
6003113	50	0.0248		0.0113
6003113	100	0.0313		0.0095
6003113	200	0.0299		0.0075
6003113	300	0.0258		0.0062
6003113	400	0.0222		0.0053
6003113	500	0.0194		0.0046
6003113	1000	0.0115		0.0027
6003113	2000	0.0063		0.0015
6003113	3000	0.0043		0.0010
6003113	4000	0.0033		0.0008
6003113	5000	0.0027		0.0006
6003113	1e+04	0.0014		0.0003
6003113	2e+04	0.0008		0.0002
6003113	3e+04	0.0006		0.0001
6003113	4e+04	0.0005		0.0001
6003113	5e+04	0.0005		0.0001
6003113	1e+05	0.0004		0.0001
6003113	2e+05	0.0003		0.0001
6003113	3e+05	0.0003		0.0001
6003113	4e+05	0.0003		0.0001
6003113	5e+05	0.0003		0.0001
