PDG	Ctau	Acceptance	StatError
6001113	0.04	0.7788		0.1675
6001113	0.08	0.7100		0.1606
6001113	0.16	0.7401		0.1076
6001113	0.24	0.7614		0.0749
6001113	0.32	0.7723		0.0562
6001113	0.4	0.7791		0.0448
6001113	0.8	0.7914		0.0225
6001113	1.6	0.7900		0.0122
6001113	2.4	0.7869		0.0093
6001113	3.2	0.7860		0.0082
6001113	4	0.7866		0.0078
6001113	8	0.7885		0.0267
6001113	16	0.7586		0.1285
6001113	24	0.7347		0.1869
6001113	32	0.7205		0.2178
6001113	40	0.7115		0.2362
6001113	80	0.6927		0.2717
6001113	160	0.6832		0.2885
6001113	240	0.6801		0.2939
6001113	320	0.6785		0.2966
6001113	400	0.6775		0.2982
6002113	0.4	0.5548		0.3839
6002113	0.8	0.7095		0.2104
6002113	1.6	0.7993		0.0927
6002113	2.4	0.8068		0.0596
6002113	3.2	0.8037		0.0453
6002113	4	0.8007		0.0372
6002113	8	0.7980		0.0207
6002113	16	0.7768		0.0116
6002113	24	0.7267		0.0091
6002113	32	0.6689		0.0085
6002113	40	0.6142		0.0085
6002113	80	0.4366		0.0136
6002113	160	0.3203		0.0238
6002113	240	0.2826		0.0279
6002113	320	0.2646		0.0299
6002113	400	0.2542		0.0311
6002113	800	0.2342		0.0333
6002113	1600	0.2247		0.0342
6002113	2400	0.2216		0.0346
6002113	3200	0.2201		0.0347
6002113	4000	0.2191		0.0348
6003113	4	0.9974		0.0026
6003113	8	0.9491		0.0329
6003113	16	0.8312		0.0550
6003113	24	0.7495		0.0503
6003113	32	0.6823		0.0441
6003113	40	0.6241		0.0387
6003113	80	0.4295		0.0228
6003113	160	0.2618		0.0113
6003113	240	0.1872		0.0073
6003113	320	0.1449		0.0053
6003113	400	0.1179		0.0043
6003113	800	0.0643		0.0038
6003113	1600	0.0423		0.0051
6003113	2400	0.0363		0.0055
6003113	3200	0.0335		0.0057
6003113	4000	0.0320		0.0058
6003113	8000	0.0290		0.0059
6003113	1.6e+04	0.0276		0.0060
6003113	2.4e+04	0.0271		0.0060
6003113	3.2e+04	0.0269		0.0060
6003113	4e+04	0.0268		0.0060
